applicant_id,credit_score,annual_income,debt_to_income,employment_length_years,age,num_open_accounts,delinquencies_2yr,loan_amount_requested,zip_tier,protected_group,gender,loan_approved
APP100082,725,110500.0,0.295,4.8,47,3,1,16900.0,5,Group B,Female,1
APP100083,633,82000.0,0.338,9.5,59,5,0,21500.0,3,Group A,Male,0
APP100084,609,112500.0,0.258,3.2,28,9,0,19100.0,4,Group A,Male,1
APP100085,676,75200.0,0.265,2.3,57,11,0,35800.0,3,Group A,Female,1
APP100086,626,35200.0,0.292,11.2,47,6,2,21900.0,2,Group B,Male,0
APP100087,692,52900.0,0.131,16.6,27,7,0,21200.0,1,Group A,Male,1
APP100088,613,92400.0,0.378,6.9,33,5,0,34800.0,1,Group A,Male,0
APP100089,673,92000.0,0.353,8.1,32,5,0,19600.0,3,Group A,Female,1
APP100090,657,60500.0,0.175,3.0,43,6,0,15000.0,2,Group A,Male,0
APP100091,679,111300.0,0.413,0.4,39,8,0,1000.0,4,Group B,Male,0
APP100092,786,59500.0,0.5,0.1,54,8,0,14100.0,2,Group A,Female,0
APP100093,693,79100.0,0.267,9.6,51,9,0,19700.0,2,Group A,Female,0
APP100094,713,78400.0,0.254,0.8,22,6,0,26900.0,2,Group A,Female,0
APP100095,639,36100.0,0.462,5.7,24,5,0,17900.0,2,Group A,Male,1
APP100096,695,65300.0,0.384,0.0,48,6,0,10200.0,2,Group A,Male,0
APP100097,662,125100.0,0.325,0.4,35,4,0,21600.0,1,Group A,Female,1
APP100098,682,45900.0,0.43,2.9,39,8,0,2100.0,4,Group A,Female,1
APP100099,722,83000.0,0.37,10.9,48,4,0,29700.0,3,Group B,Male,0
APP100100,647,40300.0,0.497,4.1,51,6,0,30900.0,3,Group B,Female,0
APP100101,654,45600.0,0.338,12.0,26,8,0,2200.0,4,Group B,Male,1
APP100102,648,34100.0,0.387,5.7,21,7,1,10400.0,2,Group A,Female,0
APP100103,647,90600.0,0.461,0.0,40,2,1,21200.0,3,Group B,Female,1
APP100104,691,47100.0,0.071,7.3,31,10,0,33900.0,2,Group B,Male,0
APP100105,656,98400.0,0.465,0.3,42,3,0,17500.0,4,Group B,Female,0
APP100106,777,55200.0,0.284,17.6,40,11,0,21500.0,3,Group A,Female,1
APP100107,850,71100.0,0.395,8.1,29,5,0,20300.0,1,Group A,Male,1
APP100108,643,77900.0,0.523,7.6,66,6,0,4000.0,2,Group A,Male,0
APP100109,699,29200.0,0.306,3.2,41,5,0,14900.0,5,Group B,Female,1
APP100110,747,72900.0,0.29,8.8,34,8,2,11200.0,2,Group A,Male,1
APP100111,663,76400.0,0.334,1.7,42,6,1,20100.0,2,Group A,Male,0
APP100112,615,95400.0,0.18,11.7,47,7,0,11900.0,3,Group A,Male,1
APP100113,793,45000.0,0.582,0.1,33,7,0,18300.0,1,Group A,Female,1
APP100114,725,48400.0,0.335,7.1,69,8,1,17500.0,3,Group A,Male,0
APP100115,701,83800.0,0.521,6.5,23,4,0,18300.0,1,Group B,Female,1
APP100116,774,101900.0,0.303,24.5,24,3,1,27600.0,3,Group B,Male,1
APP100117,730,53800.0,0.344,4.5,22,10,0,21500.0,2,Group B,Male,1
APP100118,677,38400.0,0.444,1.0,41,5,0,15800.0,1,Group A,Female,1
APP100119,617,60400.0,0.219,0.5,47,6,0,22500.0,2,Group A,Male,0
APP100120,648,43700.0,0.329,3.0,37,8,0,13100.0,2,Group A,Male,1
APP100121,758,77500.0,0.44,9.3,47,7,1,8300.0,3,Group A,Male,1
APP100122,724,42100.0,0.317,0.9,46,6,0,27700.0,1,Group A,Female,1
APP100123,668,91300.0,0.287,4.7,37,7,0,12100.0,5,Group A,Male,0
APP100124,795,73100.0,0.463,8.7,46,9,1,8900.0,5,Group A,Male,1
APP100125,670,92100.0,0.494,0.9,39,11,0,31700.0,4,Group A,Male,0
APP100126,744,18000.0,0.512,0.1,36,7,0,25900.0,2,Group A,Male,0
APP100127,694,25800.0,0.266,8.2,35,9,0,16300.0,3,Group A,Male,0
APP100128,806,99000.0,0.276,1.2,44,7,0,26000.0,1,Group A,Female,0
APP100129,729,50700.0,0.288,9.3,56,4,0,13800.0,4,Group A,Male,1
APP100130,683,32800.0,0.419,3.9,27,13,0,22300.0,2,Group A,Male,1
APP100131,668,63100.0,0.208,4.1,35,6,1,18500.0,1,Group B,Female,0
APP100132,679,73800.0,0.215,2.6,43,1,1,14700.0,2,Group A,Female,1
APP100133,633,64200.0,0.261,3.3,62,7,0,20300.0,4,Group A,Male,1
APP100134,591,79200.0,0.237,0.8,46,7,3,7900.0,4,Group A,Male,0
APP100135,700,76000.0,0.437,2.4,31,3,0,12900.0,2,Group A,Male,1
APP100136,645,74700.0,0.43,2.3,30,8,1,1000.0,3,Group B,Female,0
APP100137,645,100400.0,0.287,16.6,53,7,1,15100.0,3,Group A,Male,1
APP100138,674,67700.0,0.319,4.2,37,6,0,20300.0,4,Group B,Male,0
APP100139,683,67000.0,0.061,0.7,26,3,0,5000.0,3,Group A,Male,1
APP100140,680,87300.0,0.29,0.6,53,9,1,21400.0,2,Group A,Male,0
APP100141,793,81300.0,0.477,3.1,45,9,0,1000.0,3,Group A,Male,1
APP100142,723,46300.0,0.284,0.2,27,9,0,12700.0,5,Group B,Male,0
APP100143,817,65800.0,0.22,2.1,25,4,1,17100.0,1,Group A,Female,1
APP100144,651,78500.0,0.491,0.8,21,4,1,17800.0,2,Group A,Female,0
APP100145,731,53900.0,0.217,5.1,34,8,2,20100.0,1,Group A,Female,1
APP100146,655,55100.0,0.51,1.4,45,7,0,3100.0,2,Group A,Female,0
APP100147,644,34600.0,0.658,16.0,53,7,0,19500.0,4,Group A,Male,0
APP100148,819,18000.0,0.328,11.4,46,8,0,24100.0,1,Group A,Female,0
APP100149,630,59000.0,0.477,13.5,25,1,0,14000.0,2,Group A,Female,1
APP100150,535,71100.0,0.156,7.6,38,5,0,15800.0,4,Group B,Female,1
APP100151,634,41700.0,0.152,0.1,58,8,0,5000.0,2,Group B,Female,0
APP100152,549,101100.0,0.252,6.2,35,7,0,25800.0,4,Group A,Male,1
APP100153,618,42900.0,0.43,3.2,50,3,0,6600.0,2,Group A,Male,0
APP100154,624,89900.0,0.34,15.1,49,7,2,27700.0,3,Group A,Male,1
APP100155,682,78000.0,0.319,15.5,50,4,1,37800.0,1,Group A,Male,1
APP100156,547,120200.0,0.198,2.5,46,3,0,13500.0,4,Group A,Male,0
APP100157,758,81000.0,0.326,6.9,50,5,2,11000.0,3,Group A,Male,0
APP100158,558,33300.0,0.269,1.8,23,2,0,16300.0,5,Group B,Male,0
APP100159,672,93300.0,0.239,2.7,59,3,1,26900.0,3,Group B,Female,0
APP100160,659,108700.0,0.229,1.2,21,6,1,9800.0,1,Group A,Female,1
APP100161,734,25500.0,0.361,2.7,45,7,2,1000.0,4,Group B,Female,0
APP100162,703,83300.0,0.261,0.2,40,10,0,28100.0,1,Group A,Male,1
APP100163,757,88600.0,0.339,10.9,33,3,0,18200.0,3,Group A,Female,1
APP100164,657,62900.0,0.145,0.3,29,5,0,15900.0,1,Group A,Female,0
APP100165,650,18000.0,0.395,6.4,48,6,0,18500.0,1,Group A,Female,0
APP100166,707,60900.0,0.366,6.7,51,3,0,10600.0,5,Group B,Female,1
APP100167,747,54100.0,0.315,5.4,40,8,0,16200.0,4,Group B,Male,0
APP100168,734,104700.0,0.358,18.7,38,10,0,20300.0,1,Group A,Male,1
APP100169,701,65900.0,0.443,0.3,56,3,1,22300.0,5,Group B,Female,0
APP100170,695,58100.0,0.181,18.0,36,8,0,18200.0,2,Group A,Female,1
APP100171,678,53900.0,0.347,2.8,40,6,1,1000.0,4,Group A,Male,0
APP100172,707,75800.0,0.196,8.5,39,9,0,15000.0,2,Group A,Male,1
APP100173,812,69400.0,0.35,5.5,71,6,1,18400.0,5,Group B,Male,1
APP100174,664,49000.0,0.312,4.7,31,7,1,19100.0,5,Group A,Male,0
APP100175,656,74300.0,0.337,2.9,51,6,0,14000.0,2,Group A,Female,0
APP100176,651,54600.0,0.433,3.9,21,4,1,35500.0,2,Group A,Female,0
APP100177,705,18000.0,0.43,0.7,30,3,0,13900.0,3,Group B,Male,0
APP100178,542,84000.0,0.46,6.5,37,8,0,21900.0,5,Group B,Male,0
APP100179,671,81800.0,0.296,13.2,39,7,1,13700.0,5,Group B,Male,0
APP100180,737,72800.0,0.417,0.5,38,8,0,22100.0,3,Group B,Male,0
APP100181,646,57400.0,0.396,3.6,40,4,1,4600.0,3,Group B,Female,0
APP100182,692,66300.0,0.299,1.8,33,7,0,31500.0,5,Group A,Female,1
APP100183,817,87700.0,0.353,6.6,56,2,1,20900.0,3,Group A,Female,1
APP100184,702,52800.0,0.325,3.8,29,6,0,13100.0,4,Group B,Male,0
APP100185,534,88600.0,0.493,9.6,50,5,0,14300.0,2,Group A,Female,0
APP100186,588,32600.0,0.429,2.9,49,5,1,11200.0,1,Group A,Female,1
APP100187,664,72000.0,0.303,6.6,30,7,0,14700.0,1,Group A,Male,1
APP100188,628,68600.0,0.295,0.7,37,5,0,17700.0,4,Group B,Female,1
APP100189,687,92100.0,0.445,3.1,41,6,2,12800.0,1,Group A,Female,0
APP100190,661,45900.0,0.487,11.5,61,3,0,24500.0,5,Group B,Female,1
APP100191,756,48600.0,0.375,3.8,37,4,0,37900.0,1,Group A,Male,1
APP100192,609,34500.0,0.412,3.2,75,4,0,15900.0,1,Group A,Male,0
APP100193,667,54400.0,0.483,4.2,50,6,2,1000.0,3,Group B,Male,0
APP100194,694,74100.0,0.321,1.8,45,7,0,14800.0,1,Group A,Male,1
APP100195,702,24900.0,0.349,6.3,52,8,0,16900.0,1,Group A,Male,0
APP100196,690,57400.0,0.394,4.8,21,7,1,24700.0,1,Group A,Female,0
APP100197,523,82700.0,0.293,3.5,55,2,0,11500.0,1,Group B,Male,0
APP100198,685,65500.0,0.527,2.2,25,7,0,11700.0,2,Group A,Male,0
APP100199,670,69800.0,0.292,0.7,51,3,1,11400.0,3,Group A,Female,0
APP100200,736,31900.0,0.347,3.2,34,8,0,6300.0,5,Group B,Male,0
APP100201,727,65600.0,0.551,3.3,31,3,0,1800.0,3,Group B,Male,1
APP100202,696,68700.0,0.135,2.5,62,9,1,18600.0,3,Group A,Female,1
APP100203,700,64100.0,0.364,3.8,40,4,1,4800.0,4,Group A,Male,1
APP100204,768,71700.0,0.267,1.6,23,3,2,15100.0,2,Group A,Male,1
APP100205,755,60600.0,0.34,11.6,53,6,1,23700.0,3,Group A,Female,1
APP100206,698,57100.0,0.207,17.6,26,12,0,9600.0,2,Group A,Male,1
APP100207,819,43000.0,0.299,5.0,57,4,0,28200.0,2,Group A,Male,0
APP100208,639,91400.0,0.343,1.0,41,6,0,11300.0,2,Group A,Male,1
APP100209,603,38600.0,0.366,4.2,26,2,0,4200.0,1,Group A,Female,1
APP100210,679,71800.0,0.439,3.3,51,4,0,14100.0,2,Group B,Male,0
APP100211,656,111500.0,0.084,2.6,47,3,2,21000.0,1,Group A,Female,1
APP100212,520,94400.0,0.326,2.2,21,8,1,25100.0,3,Group A,Male,0
APP100213,638,80200.0,0.321,3.5,40,2,1,21300.0,2,Group B,Female,0
APP100214,702,74000.0,0.333,6.0,45,5,0,33800.0,5,Group B,Male,1
APP100215,676,64900.0,0.344,7.1,44,7,0,19600.0,5,Group B,Male,0
APP100216,630,46400.0,0.249,7.6,39,6,0,13100.0,2,Group A,Female,0
APP100217,683,61900.0,0.17,15.7,50,6,0,17400.0,2,Group A,Female,0
APP100218,688,81800.0,0.364,4.4,48,5,1,6200.0,3,Group B,Male,1
APP100219,726,77400.0,0.231,16.8,41,5,0,25400.0,3,Group A,Male,1
APP100220,638,86900.0,0.384,3.0,38,8,0,5500.0,3,Group A,Male,1
APP100221,737,97300.0,0.237,9.7,43,6,1,8600.0,2,Group A,Male,1
APP100222,609,64200.0,0.416,2.9,34,10,0,16700.0,3,Group A,Female,0
APP100223,647,72600.0,0.334,0.7,29,8,0,9400.0,5,Group B,Male,0
APP100224,790,22400.0,0.342,5.8,28,7,0,21300.0,1,Group A,Male,1
APP100225,613,122100.0,0.313,0.2,40,4,0,20500.0,5,Group B,Male,1
APP100226,637,58100.0,0.295,1.6,31,5,0,24500.0,1,Group A,Male,0
APP100227,599,83600.0,0.314,2.6,39,9,0,23100.0,2,Group A,Male,0
APP100228,626,58100.0,0.47,11.1,57,6,0,20000.0,4,Group A,Male,0
APP100229,689,57500.0,0.171,4.5,39,5,0,17200.0,3,Group A,Male,1
APP100230,726,62300.0,0.269,18.1,43,6,0,24300.0,2,Group A,Female,1
APP100231,679,38100.0,0.456,9.9,38,9,1,18000.0,5,Group A,Male,0
APP100232,659,18000.0,0.43,2.5,57,3,1,30600.0,5,Group B,Female,0
APP100233,599,95800.0,0.488,0.4,61,4,1,26000.0,1,Group A,Male,0
APP100234,633,81100.0,0.333,0.4,35,9,0,15500.0,4,Group B,Male,1
APP100235,580,46000.0,0.195,8.0,50,4,1,28700.0,4,Group B,Male,1
APP100236,728,78800.0,0.218,2.5,66,5,0,31500.0,3,Group A,Male,1
APP100237,732,87800.0,0.307,0.9,27,7,0,37100.0,4,Group B,Female,0
APP100238,677,51400.0,0.424,0.5,53,3,1,28200.0,5,Group A,Female,0
APP100239,709,77900.0,0.312,1.5,21,4,0,8400.0,3,Group A,Female,0
APP100240,737,92200.0,0.304,0.1,41,6,0,9400.0,3,Group B,Female,1
APP100241,687,33500.0,0.384,7.1,39,9,1,8500.0,1,Group B,Male,1
APP100242,771,80800.0,0.343,,21,8,0,27000.0,2,Group A,Male,1
APP100243,613,76700.0,0.292,7.6,54,11,0,40900.0,4,Group A,Female,0
APP100244,657,113100.0,0.23,2.9,43,4,0,21300.0,4,Group A,Male,0
APP100245,650,81400.0,0.444,3.3,30,7,0,18400.0,5,Group B,Male,1
APP100246,722,58100.0,0.455,1.5,45,1,0,22500.0,2,Group A,Female,0
APP100247,587,60900.0,0.224,2.1,52,4,1,23100.0,3,Group A,Female,0
APP100248,774,116600.0,0.296,9.2,21,5,0,29400.0,2,Group A,Female,1
APP100249,717,59500.0,0.413,9.6,21,5,0,12700.0,2,Group A,Male,1
APP100250,794,82100.0,0.215,5.9,40,6,2,22100.0,1,Group A,Female,1
APP100251,677,62300.0,0.38,11.6,32,7,0,25400.0,2,Group B,Male,0
APP100252,644,94000.0,0.304,3.3,57,3,0,20300.0,3,Group A,Male,1
APP100253,723,95100.0,0.206,3.1,37,6,0,3900.0,1,Group A,Male,1
APP100254,747,67500.0,0.536,5.6,45,5,0,1100.0,1,Group A,Female,1
APP100255,634,58200.0,0.302,0.2,39,3,1,5600.0,3,Group B,Female,0
APP100256,550,57700.0,0.398,4.1,22,12,0,28000.0,4,Group B,Female,0
APP100257,561,26500.0,0.217,0.7,41,4,0,32200.0,1,Group A,Male,0
APP100258,697,70400.0,0.511,16.8,25,6,1,8100.0,2,Group A,Male,0
APP100259,780,69900.0,0.554,5.4,24,8,0,25300.0,3,Group A,Male,1
APP100260,595,48400.0,0.175,3.2,28,5,0,1000.0,2,Group A,Female,0
APP100261,662,24000.0,0.322,2.0,27,4,0,12400.0,5,Group B,Male,1
APP100262,657,73000.0,0.486,1.4,38,4,1,21300.0,2,Group A,Male,0
APP100263,805,76000.0,0.288,0.1,36,6,0,25600.0,1,Group A,Female,1
APP100264,827,77500.0,0.385,10.0,44,6,1,11900.0,3,Group B,Male,1
APP100265,708,44200.0,0.155,4.0,22,5,1,17100.0,1,Group A,Female,1
APP100266,738,77500.0,0.253,2.0,38,5,0,17400.0,2,Group A,Male,1
APP100267,737,63700.0,0.374,1.5,35,2,0,6000.0,1,Group A,Female,1
APP100268,597,88700.0,0.275,0.4,43,7,0,27500.0,1,Group A,Male,0
APP100269,725,44600.0,0.3,3.8,44,5,0,19700.0,1,Group A,Male,1
APP100270,614,95600.0,0.173,4.4,43,6,0,10800.0,4,Group A,Male,1
APP100271,669,104200.0,0.412,0.8,29,4,0,17400.0,1,Group A,Male,1
APP100272,754,70800.0,0.193,0.6,41,4,0,27900.0,1,Group A,Female,1
APP100273,685,77700.0,0.509,2.7,35,4,1,10800.0,1,Group A,Male,1
APP100274,752,86800.0,0.265,6.9,57,2,0,7700.0,2,Group B,Male,1
APP100275,764,43400.0,0.428,1.4,42,9,1,8000.0,2,Group A,Female,1
APP100276,566,56300.0,0.417,1.3,42,5,1,39600.0,5,Group A,Male,0
APP100277,538,72400.0,0.232,7.0,26,12,0,26000.0,3,Group A,Female,0
APP100278,756,116600.0,0.277,6.9,34,8,0,9200.0,2,Group B,Female,1
APP100279,758,39300.0,0.29,21.4,44,5,0,19000.0,3,Group B,Male,0
APP100280,697,107300.0,0.297,10.8,40,7,0,20300.0,1,Group A,Female,1
APP100281,705,63400.0,0.197,3.2,40,4,0,18500.0,5,Group A,Male,1
APP100282,738,67200.0,0.399,1.3,21,4,0,12900.0,5,Group A,Male,0
APP100283,737,97200.0,0.264,1.2,31,9,1,5400.0,1,Group A,Male,1
APP100284,660,116500.0,0.327,1.1,38,6,0,11500.0,3,Group A,Female,0
APP100285,742,78100.0,0.451,15.1,55,6,1,13400.0,1,Group A,Female,0
APP100286,657,96000.0,0.403,0.8,21,5,0,25400.0,2,Group A,Male,1
APP100287,696,45900.0,0.272,9.4,28,7,0,19500.0,4,Group A,Female,0
APP100288,693,55300.0,0.455,10.7,21,3,0,23000.0,5,Group A,Male,1
APP100289,624,35500.0,0.413,12.9,45,8,0,7900.0,2,Group A,Female,1
APP100290,632,55600.0,0.262,1.7,55,9,0,15700.0,4,Group B,Female,0
APP100291,825,81600.0,0.283,0.5,45,3,0,27500.0,3,Group A,Female,1
APP100292,622,73100.0,0.45,10.7,48,4,0,6500.0,5,Group B,Female,1
APP100293,704,109500.0,0.426,4.9,29,14,0,33200.0,3,Group A,Female,0
APP100294,718,117300.0,0.175,6.7,45,3,0,19000.0,5,Group B,Male,0
APP100295,676,64700.0,0.229,9.9,32,8,1,23800.0,5,Group B,Female,0
APP100296,724,51700.0,0.416,4.1,42,5,0,1000.0,3,Group B,Female,1
APP100297,701,95800.0,0.211,1.1,47,6,0,24500.0,3,Group B,Female,0
APP100298,623,98300.0,0.429,5.4,37,6,0,10200.0,5,Group B,Male,1
APP100299,715,78600.0,0.553,10.3,51,3,0,18700.0,1,Group A,Female,1
APP100300,645,84900.0,0.381,8.2,39,10,2,7200.0,4,Group B,Male,0
APP100301,793,81200.0,0.238,4.6,44,7,0,27000.0,2,Group A,Male,1
APP100302,708,44300.0,0.359,3.3,64,8,0,8500.0,4,Group A,Female,0
APP100303,634,38800.0,0.454,4.3,47,4,1,22300.0,2,Group A,Male,1
APP100304,702,66800.0,0.351,8.5,32,4,0,21300.0,4,Group B,Female,1
APP100305,620,63200.0,0.393,3.9,35,11,0,20500.0,2,Group A,Male,0
APP100306,697,74600.0,0.252,1.7,51,10,1,16400.0,2,Group A,Female,1
APP100307,665,64900.0,0.26,6.6,54,8,1,23000.0,4,Group A,Female,0
APP100308,626,27100.0,0.44,4.3,41,4,1,17500.0,3,Group A,Male,1
APP100309,625,18000.0,0.262,17.6,23,5,0,15600.0,2,Group A,Female,1
APP100310,838,85700.0,0.056,24.0,30,10,0,24700.0,5,Group A,Male,1
APP100311,686,52100.0,0.306,5.3,43,7,0,36500.0,2,Group A,Female,1
APP100312,652,62400.0,0.375,6.5,48,2,0,17800.0,1,Group A,Female,1
APP100313,641,54600.0,0.456,2.7,53,7,0,6000.0,2,Group A,Male,1
APP100314,711,46100.0,0.521,1.8,21,9,1,15500.0,3,Group A,Female,0
APP100315,638,45400.0,0.349,5.7,51,5,0,23700.0,2,Group A,Male,0
APP100316,609,92500.0,0.412,12.8,58,5,0,14800.0,4,Group A,Female,1
APP100317,678,62300.0,0.353,0.4,21,2,2,5100.0,5,Group B,Female,1
APP100318,677,83200.0,0.379,1.8,41,7,1,20300.0,2,Group A,Male,1
APP100319,653,86500.0,0.319,2.4,50,4,0,16200.0,1,Group B,Female,1
APP100320,622,75600.0,0.383,8.1,24,8,0,12400.0,5,Group B,Male,1
APP100321,655,87200.0,0.26,0.8,35,4,0,20500.0,2,Group A,Male,1
APP100322,649,68300.0,0.558,2.0,48,6,0,26100.0,1,Group A,Female,1
APP100323,640,100700.0,0.077,5.1,35,8,0,14300.0,2,Group A,Male,1
APP100324,698,87800.0,0.403,2.7,37,9,1,25300.0,3,Group B,Female,0
APP100325,825,91000.0,0.375,0.2,44,8,0,19000.0,1,Group A,Male,1
APP100326,767,45500.0,0.381,7.0,27,8,2,9000.0,3,Group B,Female,0
APP100327,806,74300.0,0.21,5.6,28,13,0,1000.0,1,Group A,Female,1
APP100328,643,24000.0,0.155,1.0,47,3,0,20100.0,1,Group A,Male,0
